"Ajatempel (UTC)";"Kuupaev (Eesti aeg)";"Tarbimine";"Tootmine";"Planeeritud tarbimine";"Planeeritud tootmine"
"1640988000";"01.01.2022 00:00";"899,4";"419,5";"903,1";"462,4"
"1640991600";"01.01.2022 01:00";"892,1";"431,9";"935,8";"469,1"
"1640995200";"01.01.2022 02:00";"874,3";"428,1";"897,6";"458,6"
"1640998800";"01.01.2022 03:00";"860,1";"435,7";"878,5";"471,9"
"1641002400";"01.01.2022 04:00";"842,7";"429,2";"891,1";"472,2"
"1641006000";"01.01.2022 05:00";"844,7";"438,9";"893,7";"479,1"
"1641009600";"01.01.2022 06:00";"852,2";"461,4";"889,2";"491,7"
"1641013200";"01.01.2022 07:00";"868,4";"500,1";"905,2";"514,9"
"1641016800";"01.01.2022 08:00";"874,8";"537,3";"941,7";"554,5"
"1641020400";"01.01.2022 09:00";"882";"539,5";"961,8";"574"
"1641024000";"01.01.2022 10:00";"925,4";"573,3";"990,2";"594"
"1641027600";"01.01.2022 11:00";"978,1";"584,1";"1013,5";"607"
"1641031200";"01.01.2022 12:00";"987,8";"565,2";"1019,9";"625,7"
"1641034800";"01.01.2022 13:00";"991,6";"616,8";"1029,4";"708,1"
"1641038400";"01.01.2022 14:00";"980,2";"633,6";"1029,9";"705,2"
"1641042000";"01.01.2022 15:00";"983,8";"625,5";"1067,2";"706"
"1641045600";"01.01.2022 16:00";"1052";"633,3";"1127,6";"700,1"
"1641049200";"01.01.2022 17:00";"1069,1";"646,9";"1152";"736,6"
"1641052800";"01.01.2022 18:00";"1076,5";"654,7";"1146,8";"727,7"
"1641056400";"01.01.2022 19:00";"1064,3";"630,8";"1122,3";"710"
"1641060000";"01.01.2022 20:00";"1052,8";"614,5";"1099,6";"697,9"
"1641063600";"01.01.2022 21:00";"1030,9";"573,5";"1095,3";"670,9"
"1641067200";"01.01.2022 22:00";"997,3";"520";"1072,8";"642,2"
"1641070800";"01.01.2022 23:00";"967,6";"533,9";"1041,7";"650,3"
"1641074400";"02.01.2022 00:00";"936,6";"492,4";"1018,6";"615"
"1641078000";"02.01.2022 01:00";"917,2";"467";"1016,4";"544,2"
"1641081600";"02.01.2022 02:00";"899,7";"409,8";"986,7";"438"
"1641085200";"02.01.2022 03:00";"891,8";"431,4";"984,7";"447,4"
"1641088800";"02.01.2022 04:00";"883,9";"425,3";"983,3";"455,2"
"1641092400";"02.01.2022 05:00";"878,2";"431,1";"994,7";"463,8"
"1641096000";"02.01.2022 06:00";"900,3";"410";"1010,9";"478,1"
"1641099600";"02.01.2022 07:00";"933,6";"440,2";"1033,2";"494,1"
"1641103200";"02.01.2022 08:00";"983,2";"478,2";"1103,5";"526,6"
"1641106800";"02.01.2022 09:00";"1013,3";"499,9";"1124,9";"541,6"
"1641110400";"02.01.2022 10:00";"1042,3";"512,6";"1209";"577,1"
"1641114000";"02.01.2022 11:00";"1066,5";"549,1";"1206,2";"586,8"
"1641117600";"02.01.2022 12:00";"1070,5";"557,9";"1220";"588,8"
"1641121200";"02.01.2022 13:00";"1066,9";"524,1";"1242";"587,6"
"1641124800";"02.01.2022 14:00";"1076,6";"487";"1212,8";"557,1"
"1641128400";"02.01.2022 15:00";"1099,9";"516,8";"1190,4";"545"
"1641132000";"02.01.2022 16:00";"1158,9";"484,9";"1268,8";"543,1"
"1641135600";"02.01.2022 17:00";"1164,5";"508,4";"1282,1";"581"
"1641139200";"02.01.2022 18:00";"1159,6";"529,4";"1271,2";"625"
"1641142800";"02.01.2022 19:00";"1140,5";"467,2";"1218,9";"556,6"
"1641146400";"02.01.2022 20:00";"1116,1";"485,5";"1160,4";"554,3"
"1641150000";"02.01.2022 21:00";"1073,9";"522,2";"1131,8";"552"
"1641153600";"02.01.2022 22:00";"1020,5";"490,2";"1096,5";"565,5"
"1641157200";"02.01.2022 23:00";"964,9";"540,4";"1062,8";"579,7"
"1641160800";"03.01.2022 00:00";"923";"534,6";"1014,2";"579,2"
"1641164400";"03.01.2022 01:00";"923,7";"486,5";"976,9";"562,3"
"1641168000";"03.01.2022 02:00";"905,1";"477";"963,5";"543,5"
"1641171600";"03.01.2022 03:00";"886,2";"443,9";"939";"536,3"
"1641175200";"03.01.2022 04:00";"902";"476,7";"945,5";"529,5"
"1641178800";"03.01.2022 05:00";"909,4";"475,5";"969,8";"524,4"
"1641182400";"03.01.2022 06:00";"1010";"560,5";"1042,9";"631,6"
"1641186000";"03.01.2022 07:00";"1119,5";"588,2";"1161,1";"725,7"
"1641189600";"03.01.2022 08:00";"1227,8";"659,2";"1251,5";"740,8"
"1641193200";"03.01.2022 09:00";"1263,7";"667,7";"1333,7";"743,6"
"1641196800";"03.01.2022 10:00";"1280,8";"691,1";"1318,4";"769,8"
"1641200400";"03.01.2022 11:00";"1290";"679,2";"1330,9";"731,6"
"1641204000";"03.01.2022 12:00";"1287,2";"670,7";"1310,9";"735"
"1641207600";"03.01.2022 13:00";"1295,8";"663,9";"1348,9";"731,1"
"1641211200";"03.01.2022 14:00";"1282,1";"656,2";"1350,2";"733,2"
"1641214800";"03.01.2022 15:00";"1286,5";"657,5";"1308,5";"740,7"
"1641218400";"03.01.2022 16:00";"1309,2";"661,8";"1340,2";"743,5"
"1641222000";"03.01.2022 17:00";"1280,7";"665,2";"1331,2";"742,8"
"1641225600";"03.01.2022 18:00";"1262,2";"677,6";"1306";"744,8"
"1641229200";"03.01.2022 19:00";"1227,4";"675,3";"1250,6";"744,5"
"1641232800";"03.01.2022 20:00";"1196";"661,5";"1226,2";"746,5"
"1641236400";"03.01.2022 21:00";"1139,7";"661,3";"1164";"748,6"
"1641240000";"03.01.2022 22:00";"1068";"658,3";"1098,5";"750,2"
"1641243600";"03.01.2022 23:00";"985,8";"663";"1050";"755,3"
"1641247200";"04.01.2022 00:00";"929,3";"661";"1042,9";"756,9"
"1641250800";"04.01.2022 01:00";"910,3";"679,5";"964,9";"743,2"
"1641254400";"04.01.2022 02:00";"884,8";"665,3";"928,3";"759,9"
"1641258000";"04.01.2022 03:00";"865";"661,8";"925,1";"763,2"
"1641261600";"04.01.2022 04:00";"869,5";"686,2";"929";"789,1"
"1641265200";"04.01.2022 05:00";"893,4";"740,9";"958";"815"
"1641268800";"04.01.2022 06:00";"978";"757,5";"1071";"829"
"1641272400";"04.01.2022 07:00";"1075,3";"787,6";"1194,4";"872,4"
"1641276000";"04.01.2022 08:00";"1183,4";"908,4";"1294,1";"986,2"
"1641279600";"04.01.2022 09:00";"1204,8";"933,3";"1320";"1018,9"
"1641283200";"04.01.2022 10:00";"1214,8";"938,1";"1323,2";"1026,7"
"1641286800";"04.01.2022 11:00";"1227,1";"942,2";"1288,6";"1016,9"
"1641290400";"04.01.2022 12:00";"1241,9";"930,6";"1271,7";"1002,2"
"1641294000";"04.01.2022 13:00";"1257,9";"926,1";"1292,7";"979,9"
"1641297600";"04.01.2022 14:00";"1239,2";"902,8";"1315";"980,3"
"1641301200";"04.01.2022 15:00";"1237,3";"907,4";"1316,3";"971,5"
"1641304800";"04.01.2022 16:00";"1266,4";"897,8";"1337,9";"962,5"
"1641308400";"04.01.2022 17:00";"1260,7";"901";"1298";"960,3"
"1641312000";"04.01.2022 18:00";"1242,4";"889,2";"1273,2";"960,1"
"1641315600";"04.01.2022 19:00";"1211,1";"887,3";"1232,9";"959,8"
"1641319200";"04.01.2022 20:00";"1167,9";"882,7";"1190,2";"953,1"
"1641322800";"04.01.2022 21:00";"1121,4";"887,6";"1150,9";"941,3"
"1641326400";"04.01.2022 22:00";"1046,7";"857,2";"1083,5";"909,2"
"1641330000";"04.01.2022 23:00";"973,9";"784,8";"1017,6";"836"
"1641333600";"05.01.2022 00:00";"923,6";"682,6";"980,8";"779,3"
"1641337200";"05.01.2022 01:00";"900,3";"614,2";"946,1";"672"
"1641340800";"05.01.2022 02:00";"892,3";"544,5";"922,3";"574,3"
"1641344400";"05.01.2022 03:00";"883";"516,8";"915,1";"573,1"
"1641348000";"05.01.2022 04:00";"889,5";"510,2";"923,4";"569,6"
"1641351600";"05.01.2022 05:00";"925,5";"515,1";"940,2";"569,4"
"1641355200";"05.01.2022 06:00";"1024,3";"600,3";"1075,7";"681,2"
"1641358800";"05.01.2022 07:00";"1144,7";"666,3";"1195,3";"757,5"
"1641362400";"05.01.2022 08:00";"1245,1";"681,2";"1266,6";"761"
"1641366000";"05.01.2022 09:00";"1274";"697,1";"1320,7";"764,5"
"1641369600";"05.01.2022 10:00";"1280,9";"701,7";"1334,7";"768,5"
"1641373200";"05.01.2022 11:00";"1272,9";"684,9";"1312";"797,2"
"1641376800";"05.01.2022 12:00";"1259,5";"714,3";"1263,3";"809,4"
"1641380400";"05.01.2022 13:00";"1269,3";"715,8";"1311,8";"813,6"
"1641384000";"05.01.2022 14:00";"1242";"710,7";"1308,7";"810,1"
"1641387600";"05.01.2022 15:00";"1232,4";"708,6";"1331,1";"791,3"
"1641391200";"05.01.2022 16:00";"1254";"666,3";"1333,4";"794,6"
"1641394800";"05.01.2022 17:00";"1242,5";"601";"1306,2";"795,1"
"1641398400";"05.01.2022 18:00";"1243";"600,2";"1259,4";"711,2"
"1641402000";"05.01.2022 19:00";"1214,6";"601,5";"1251,9";"689,4"
"1641405600";"05.01.2022 20:00";"1171,2";"633,5";"1114,4";"693,8"
"1641409200";"05.01.2022 21:00";"1125,5";"618,2";"1174,7";"693,5"
"1641412800";"05.01.2022 22:00";"1053,2";"608,6";"1116,8";"703,9"
"1641416400";"05.01.2022 23:00";"975,3";"619,9";"1055,2";"737"
"1641420000";"06.01.2022 00:00";"928,8";"624,6";"1008,6";"739,9"
"1641423600";"06.01.2022 01:00";"899,1";"617,6";"1005,3";"690"
"1641427200";"06.01.2022 02:00";"889,3";"593,7";"987,5";"657,1"
"1641430800";"06.01.2022 03:00";"881,9";"599,6";"992,6";"676,6"
"1641434400";"06.01.2022 04:00";"891,3";"625,5";"993,4";"711,3"
"1641438000";"06.01.2022 05:00";"921,4";"682,9";"1022,1";"761,2"
"1641441600";"06.01.2022 06:00";"1008,7";"773,9";"1142,7";"857,8"
"1641445200";"06.01.2022 07:00";"1119,9";"877,3";"1296,3";"980,3"
"1641448800";"06.01.2022 08:00";"1231,2";"1042,6";"1352,7";"1117,5"
"1641452400";"06.01.2022 09:00";"1271";"1131,3";"1370,4";"1225,6"
"1641456000";"06.01.2022 10:00";"1282,1";"1189,5";"1388,1";"1295"
"1641459600";"06.01.2022 11:00";"1303,4";"1202,9";"1374,6";"1231,6"
"1641463200";"06.01.2022 12:00";"1315,6";"1180,4";"1358,5";"1317,4"
"1641466800";"06.01.2022 13:00";"1332,6";"1174,6";"1378,3";"1179,4"
"1641470400";"06.01.2022 14:00";"1297,7";"1070,2";"1372,1";"1162,4"
"1641474000";"06.01.2022 15:00";"1299,1";"1041";"1393,5";"1123,9"
"1641477600";"06.01.2022 16:00";"1317,2";"1040,3";"1403,2";"1115"
"1641481200";"06.01.2022 17:00";"1322,5";"1025,4";"1386,8";"1106,2"
"1641484800";"06.01.2022 18:00";"1283,7";"1039,1";"1342";"1098,3"
"1641488400";"06.01.2022 19:00";"1253,3";"1032,3";"1349,2";"1104,6"
"1641492000";"06.01.2022 20:00";"1225,5";"1035,5";"1328,2";"1101,9"
"1641495600";"06.01.2022 21:00";"1164,6";"1154,8";"1290,4";"1122,8"
"1641499200";"06.01.2022 22:00";"1090,6";"1078,9";"1251,1";"1143,3"
"1641502800";"06.01.2022 23:00";"1018,1";"1106,9";"1159,3";"1153,3"
"1641506400";"07.01.2022 00:00";"955,7";"1086,8";"1176,4";"1164,7"
"1641510000";"07.01.2022 01:00";"929,1";"929,7";"1035";"980,3"
"1641513600";"07.01.2022 02:00";"918,8";"955,3";"1027,9";"993,1"
"1641517200";"07.01.2022 03:00";"906,4";"942,1";"1019,5";"999,5"
"1641520800";"07.01.2022 04:00";"908";"931,4";"1042,7";"995,2"
"1641524400";"07.01.2022 05:00";"940,1";"902,6";"1076,3";"995,1"
"1641528000";"07.01.2022 06:00";"1048,9";"944,8";"1142,2";"1007,6"
"1641531600";"07.01.2022 07:00";"1167,8";"1004,4";"1220,4";"1095,6"
"1641535200";"07.01.2022 08:00";"1280";"1088,6";"1380,8";"1186,2"
"1641538800";"07.01.2022 09:00";"1320,2";"1088";"1407,5";"1153,1"
"1641542400";"07.01.2022 10:00";"1338,5";"1099,4";"1393,1";"1136,4"
"1641546000";"07.01.2022 11:00";"1363,8";"1106,8";"1407,8";"1177,4"
"1641549600";"07.01.2022 12:00";"1359,9";"1057,6";"1411,8";"1132,6"
"1641553200";"07.01.2022 13:00";"1359,1";"1060,1";"1402,7";"1136,4"
"1641556800";"07.01.2022 14:00";"1326,7";"1037,4";"1387";"1098,7"
"1641560400";"07.01.2022 15:00";"1314,2";"1097,1";"1392,2";"1146,7"
"1641564000";"07.01.2022 16:00";"1322,2";"1099,5";"1418,8";"1136,6"
"1641567600";"07.01.2022 17:00";"1313,3";"1104,2";"1382,8";"1162,5"
"1641571200";"07.01.2022 18:00";"1297";"1119,8";"1381,9";"1182,2"
"1641574800";"07.01.2022 19:00";"1258,8";"1105,9";"1350,2";"1193,8"
"1641578400";"07.01.2022 20:00";"1223,3";"1109,6";"1316,4";"1199,4"
"1641582000";"07.01.2022 21:00";"1163,3";"1054,2";"1281,4";"1155,6"
"1641585600";"07.01.2022 22:00";"1104,9";"1059,9";"1218,3";"1160,2"
"1641589200";"07.01.2022 23:00";"1039,8";"995,7";"1158,1";"1139,3"
"1641592800";"08.01.2022 00:00";"1004,3";"969,5";"1088,1";"1046,7"
"1641596400";"08.01.2022 01:00";"982,6";"1085,3";"1068,4";"1172,7"
"1641600000";"08.01.2022 02:00";"962,7";"1090";"1058,9";"1174,2"
"1641603600";"08.01.2022 03:00";"960,8";"1124,3";"1049,5";"1181,7"
"1641607200";"08.01.2022 04:00";"955,1";"1113,8";"1064,9";"1185,8"
"1641610800";"08.01.2022 05:00";"963,3";"1123,8";"1071,6";"1196"
"1641614400";"08.01.2022 06:00";"992,6";"1094,6";"1111,8";"1199,1"
"1641618000";"08.01.2022 07:00";"1038,5";"1109,6";"1138,2";"1203,9"
"1641621600";"08.01.2022 08:00";"1094,4";"1136";"1182,9";"1224,9"
"1641625200";"08.01.2022 09:00";"1132,6";"1135,7";"1206,7";"1226,5"
"1641628800";"08.01.2022 10:00";"1159";"1128,5";"1221,5";"1212,2"
"1641632400";"08.01.2022 11:00";"1174";"1176,6";"1230,5";"1223,3"
"1641636000";"08.01.2022 12:00";"1171";"1150,1";"1225,6";"1230,5"
"1641639600";"08.01.2022 13:00";"1175,6";"1156,5";"1223,1";"1238,1"
"1641643200";"08.01.2022 14:00";"1161,5";"1127,5";"1218";"1246,1"
"1641646800";"08.01.2022 15:00";"1161,3";"1146,3";"1212,2";"1255,8"
"1641650400";"08.01.2022 16:00";"1207";"1167";"1254,6";"1248,1"
"1641654000";"08.01.2022 17:00";"1203,1";"1171";"1274,9";"1241,6"
"1641657600";"08.01.2022 18:00";"1182";"1133";"1278,7";"1244,1"
"1641661200";"08.01.2022 19:00";"1166,3";"1122,2";"1217,9";"1246,3"
"1641664800";"08.01.2022 20:00";"1128,2";"1148,6";"1179,4";"1238,3"
"1641668400";"08.01.2022 21:00";"1079,1";"967,1";"1125,4";"1057,6"
"1641672000";"08.01.2022 22:00";"1012,3";"924,7";"1091,5";"1012,5"
"1641675600";"08.01.2022 23:00";"970,6";"792,4";"1042,4";"864,6"
"1641679200";"09.01.2022 00:00";"938,5";"700,8";"997,5";"761,1"
"1641682800";"09.01.2022 01:00";"914,9";"748,6";"963";"811,4"
"1641686400";"09.01.2022 02:00";"902,6";"712,8";"946";"759,3"
"1641690000";"09.01.2022 03:00";"896,9";"699,2";"938,4";"756,8"
"1641693600";"09.01.2022 04:00";"872,8";"689,9";"954,7";"752,4"
"1641697200";"09.01.2022 05:00";"892,3";"762,8";"981,1";"869,4"
"1641700800";"09.01.2022 06:00";"916,1";"816,1";"1000,8";"903,9"
"1641704400";"09.01.2022 07:00";"956,1";"796,7";"1025,1";"902"
"1641708000";"09.01.2022 08:00";"997,6";"790,2";"1096,9";"874,3"
"1641711600";"09.01.2022 09:00";"1035,1";"846,4";"1112,3";"955,4"
"1641715200";"09.01.2022 10:00";"1070,3";"888,2";"1153,1";"1032,8"
"1641718800";"09.01.2022 11:00";"1076,3";"991,9";"1161,6";"1088,1"
"1641722400";"09.01.2022 12:00";"1090";"984,4";"1174,9";"1088,1"
"1641726000";"09.01.2022 13:00";"1083,1";"1018,7";"1159,3";"1074,8"
"1641729600";"09.01.2022 14:00";"1064,8";"977";"1146,8";"1070,6"
"1641733200";"09.01.2022 15:00";"1086,5";"967,5";"1166,3";"1091"
"1641736800";"09.01.2022 16:00";"1138,3";"980,7";"1197,9";"1110,7"
"1641740400";"09.01.2022 17:00";"1173,5";"998,9";"1207,8";"1107,2"
"1641744000";"09.01.2022 18:00";"1175";"1113";"1211,4";"1179,6"
"1641747600";"09.01.2022 19:00";"1137";"1122,7";"1188,6";"1194,1"
"1641751200";"09.01.2022 20:00";"1115,8";"1123,8";"1166,6";"1193"
"1641754800";"09.01.2022 21:00";"1072,5";"1124";"1149";"1193"
"1641758400";"09.01.2022 22:00";"1014,9";"1137,5";"1084";"1192,7"
"1641762000";"09.01.2022 23:00";"956,7";"1129,8";"1025,8";"1198,6"
"1641765600";"10.01.2022 00:00";"916,5";"1132,6";"1001";"1215,1"
"1641769200";"10.01.2022 01:00";"875,6";"1042,9";"974,9";"1122,3"
"1641772800";"10.01.2022 02:00";"860,5";"1016,3";"954,9";"1101,7"
"1641776400";"10.01.2022 03:00";"866";"1032,3";"956,7";"1117"
"1641780000";"10.01.2022 04:00";"872,6";"1067,2";"949,7";"1114,3"
"1641783600";"10.01.2022 05:00";"902,1";"1115,6";"1007,6";"1202,8"
"1641787200";"10.01.2022 06:00";"1031,1";"1126,5";"1132,8";"1225,6"
"1641790800";"10.01.2022 07:00";"1173,9";"1143,2";"1285,7";"1223,9"
"1641794400";"10.01.2022 08:00";"1279,9";"1132,7";"1385,9";"1215,4"
"1641798000";"10.01.2022 09:00";"1293,6";"1110,2";"1409";"1210"
"1641801600";"10.01.2022 10:00";"1296,2";"1089,9";"1425";"1207,3"
"1641805200";"10.01.2022 11:00";"1312,3";"1102,2";"1388,2";"1203"
"1641808800";"10.01.2022 12:00";"1305";"1116,1";"1360";"1218,4"
"1641812400";"10.01.2022 13:00";"1313,6";"1127,7";"1361,4";"1217,5"
"1641816000";"10.01.2022 14:00";"1299,7";"1116,7";"1357,8";"1217,6"
"1641819600";"10.01.2022 15:00";"1301,8";"1112";"1371,4";"1213,5"
"1641823200";"10.01.2022 16:00";"1320,4";"1219,8";"1413,7";"1319,6"
"1641826800";"10.01.2022 17:00";"1328,8";"1233,9";"1401,3";"1343,7"
"1641830400";"10.01.2022 18:00";"1304";"1243,2";"1395,2";"1339,5"
"1641834000";"10.01.2022 19:00";"1276,2";"1230";"1369,6";"1301,2"
"1641837600";"10.01.2022 20:00";"1241,6";"1216,1";"1328,6";"1296,2"
"1641841200";"10.01.2022 21:00";"1198,2";"1213,2";"1263,3";"1294,2"
"1641844800";"10.01.2022 22:00";"1132,5";"1214,7";"1213,6";"1292,4"
"1641848400";"10.01.2022 23:00";"1079,4";"1222,8";"1140,7";"1322,7"
"1641852000";"11.01.2022 00:00";"1051,7";"1224,7";"1100,3";"1299"
"1641855600";"11.01.2022 01:00";"1041,2";"1188,6";"1165,1";"1263,8"
"1641859200";"11.01.2022 02:00";"1034,7";"1165,3";"1157,8";"1259,8"
"1641862800";"11.01.2022 03:00";"1038,4";"1184";"1143";"1260,3"
"1641866400";"11.01.2022 04:00";"1047,4";"1182,7";"1127,7";"1258,4"
"1641870000";"11.01.2022 05:00";"1087,1";"1190";"1168,2";"1261,7"
"1641873600";"11.01.2022 06:00";"1208,8";"1211";"1289,9";"1290,7"
"1641877200";"11.01.2022 07:00";"1330,7";"1212,2";"1414,2";"1291,6"
"1641880800";"11.01.2022 08:00";"1429,2";"1222,8";"1512";"1301,9"
"1641884400";"11.01.2022 09:00";"1454,8";"1244,2";"1540,5";"1322,9"
"1641888000";"11.01.2022 10:00";"1464,2";"1259,3";"1526,4";"1309,1"
"1641891600";"11.01.2022 11:00";"1463,6";"1270,8";"1508,5";"1337,3"
"1641895200";"11.01.2022 12:00";"1445,5";"1276,9";"1500,8";"1333,9"
"1641898800";"11.01.2022 13:00";"1448,3";"1273,5";"1499,8";"1328,5"
"1641902400";"11.01.2022 14:00";"1416,6";"1265";"1474,2";"1312,4"
"1641906000";"11.01.2022 15:00";"1412,5";"1239,6";"1485,7";"1310,6"
"1641909600";"11.01.2022 16:00";"1438,3";"1248,8";"1494,3";"1320"
"1641913200";"11.01.2022 17:00";"1450,1";"1269,6";"1521,9";"1340,7"
"1641916800";"11.01.2022 18:00";"1432,7";"1282,4";"1480,8";"1344,5"
"1641920400";"11.01.2022 19:00";"1402,3";"1290,3";"1470,3";"1351"
"1641924000";"11.01.2022 20:00";"1367,5";"1284,3";"1434,9";"1352,8"
"1641927600";"11.01.2022 21:00";"1315,2";"1291,1";"1395,9";"1360,6"
"1641931200";"11.01.2022 22:00";"1247,9";"1295,2";"1343,7";"1369,6"
"1641934800";"11.01.2022 23:00";"1172,4";"1251";"1261,1";"1346,5"
"1641938400";"12.01.2022 00:00";"1112,8";"1241,1";"1190,9";"1351,1"
"1641942000";"12.01.2022 01:00";"1075";"1053,5";"1161,9";"1135,8"
"1641945600";"12.01.2022 02:00";"1056";"1126";"1155,5";"1145,1"
"1641949200";"12.01.2022 03:00";"1047,2";"1113,6";"1145,4";"1132,9"
"1641952800";"12.01.2022 04:00";"1044,1";"1101,5";"1128,4";"1128,4"
"1641956400";"12.01.2022 05:00";"1077,6";"1130,2";"1200,8";"1166"
"1641960000";"12.01.2022 06:00";"1184,1";"1091,4";"1349,9";"1220,1"
"1641963600";"12.01.2022 07:00";"1302,5";"1181,3";"1399,3";"1287,3"
"1641967200";"12.01.2022 08:00";"1390";"1218,9";"1494,9";"1319,9"
"1641970800";"12.01.2022 09:00";"1396,9";"1230,5";"1528";"1330,5"
"1641974400";"12.01.2022 10:00";"1394,4";"1230,6";"1530,9";"1328,8"
"1641978000";"12.01.2022 11:00";"1390,7";"1243,4";"1494,7";"1349,7"
"1641981600";"12.01.2022 12:00";"1372,4";"1251,4";"1464,5";"1373,1"
"1641985200";"12.01.2022 13:00";"1374,3";"1253,5";"1491,9";"1367,4"
"1641988800";"12.01.2022 14:00";"1329,2";"1229";"1480";"1333"
"1641992400";"12.01.2022 15:00";"1329,5";"1213,3";"1477,1";"1324,5"
"1641996000";"12.01.2022 16:00";"1337,3";"1228,1";"1451,3";"1327,6"
"1641999600";"12.01.2022 17:00";"1322,9";"1246,3";"1413,5";"1330,2"
"1642003200";"12.01.2022 18:00";"1298,9";"1256,8";"1375,7";"1350,6"
"1642006800";"12.01.2022 19:00";"1263,4";"1225,7";"1344,2";"1344,2"
"1642010400";"12.01.2022 20:00";"1215,9";"1169,7";"1288,9";"1288,9"
"1642014000";"12.01.2022 21:00";"1149";"1101,9";"1216,8";"1205,1"
"1642017600";"12.01.2022 22:00";"1052";"996,5";"1133,4";"1083,9"
"1642021200";"12.01.2022 23:00";"978,7";"885";"1054,5";"972,3"
"1642024800";"13.01.2022 00:00";"941";"791,2";"1032,8";"887,9"
"1642028400";"13.01.2022 01:00";"899,8";"905";"1051,3";"1051,3"
"1642032000";"13.01.2022 02:00";"882,9";"869";"1021,8";"1011,5"
"1642035600";"13.01.2022 03:00";"881,2";"849,3";"1006,7";"977,3"
"1642039200";"13.01.2022 04:00";"873,5";"835,4";"1019,3";"990"
"1642042800";"13.01.2022 05:00";"896,4";"806,7";"1070,5";"979"
"1642046400";"13.01.2022 06:00";"1009,6";"912,8";"1189,4";"1005,9"
"1642050000";"13.01.2022 07:00";"1126,2";"968,5";"1289,4";"1093,7"
"1642053600";"13.01.2022 08:00";"1211,5";"974,8";"1385,6";"1132,2"
"1642057200";"13.01.2022 09:00";"1219,9";"1065,4";"1386";"1209,2"
"1642060800";"13.01.2022 10:00";"1203,4";"909,6";"1347,6";"1065,5"
"1642064400";"13.01.2022 11:00";"1161,7";"931,5";"1314";"1073,2"
"1642068000";"13.01.2022 12:00";"1125,5";"971,3";"1317,6";"1110,6"
"1642071600";"13.01.2022 13:00";"1147,2";"982,8";"1325,7";"1114"
"1642075200";"13.01.2022 14:00";"1147,8";"956,7";"1298,9";"1116,9"
"1642078800";"13.01.2022 15:00";"1169,6";"982,8";"1261,6";"1124,2"
"1642082400";"13.01.2022 16:00";"1187,5";"882,8";"1285,9";"1058,5"
"1642086000";"13.01.2022 17:00";"1190,9";"909,9";"1292";"1071"
"1642089600";"13.01.2022 18:00";"1164,6";"862,3";"1271,1";"1060,5"
"1642093200";"13.01.2022 19:00";"1127,9";"874,7";"1256,4";"1076,6"
"1642096800";"13.01.2022 20:00";"1088,8";"921,1";"1208,6";"1085,9"
"1642100400";"13.01.2022 21:00";"1040,3";"815,2";"1156,1";"1003,5"
"1642104000";"13.01.2022 22:00";"973";"780";"1077,1";"942,7"
"1642107600";"13.01.2022 23:00";"891,4";"741,2";"998,8";"877,4"
"1642111200";"14.01.2022 00:00";"843,5";"711";"962,6";"824,7"
"1642114800";"14.01.2022 01:00";"819,7";"711,7";"977,9";"818,5"
"1642118400";"14.01.2022 02:00";"808";"707";"929,8";"778,5"
"1642122000";"14.01.2022 03:00";"810,9";"709,1";"921,7";"782,8"
"1642125600";"14.01.2022 04:00";"822,6";"695,8";"911";"790"
"1642129200";"14.01.2022 05:00";"851,2";"711,5";"959,4";"797,6"
"1642132800";"14.01.2022 06:00";"967,1";"770,3";"1100";"887,6"
"1642136400";"14.01.2022 07:00";"1093,6";"848,9";"1213,2";"986,2"
"1642140000";"14.01.2022 08:00";"1187,7";"894,6";"1324,6";"1029,1"
"1642143600";"14.01.2022 09:00";"1210,3";"1004,3";"1319,3";"1141,3"
"1642147200";"14.01.2022 10:00";"1207,8";"871,5";"1344,7";"1022,5"
"1642150800";"14.01.2022 11:00";"1209,7";"867,8";"1327,2";"1006,2"
"1642154400";"14.01.2022 12:00";"1197,9";"893";"1316,4";"1030,9"
"1642158000";"14.01.2022 13:00";"1220,7";"863,7";"1335";"1031,4"
"1642161600";"14.01.2022 14:00";"1213,4";"825,3";"1322,6";"984,2"
"1642165200";"14.01.2022 15:00";"1193,7";"834,1";"1317,1";"1016,9"
"1642168800";"14.01.2022 16:00";"1201,9";"835,2";"1331,3";"1011,2"
"1642172400";"14.01.2022 17:00";"1204,5";"796,5";"1310,2";"1005,5"
"1642176000";"14.01.2022 18:00";"1178";"847";"1284,1";"1017,4"
"1642179600";"14.01.2022 19:00";"1144,1";"886,5";"1236,6";"1013,6"
"1642183200";"14.01.2022 20:00";"1091,3";"815,5";"1211,8";"930,7"
"1642186800";"14.01.2022 21:00";"1043";"793,1";"1174";"978,6"
"1642190400";"14.01.2022 22:00";"979,2";"775,9";"1115,1";"904,3"
"1642194000";"14.01.2022 23:00";"921,1";"685";"1060,5";"838,9"
"1642197600";"15.01.2022 00:00";"874,5";"694,1";"1018,4";"845,5"
"1642201200";"15.01.2022 01:00";"842,3";"593,5";"994,3";"697,1"
"1642204800";"15.01.2022 02:00";"816,4";"592,9";"976,8";"690,4"
"1642208400";"15.01.2022 03:00";"802,6";"590,2";"971,2";"696,9"
"1642212000";"15.01.2022 04:00";"800";"585,9";"977,1";"690,3"
"1642215600";"15.01.2022 05:00";"815,5";"606,3";"983,5";"691,9"
"1642219200";"15.01.2022 06:00";"856,6";"637,9";"1030,6";"718,2"
